ACONIF,LobaOreg,DegreeDays,etpjyy,mindyy,taveyy,Aspect,Slope,Elevation,PctBroadLeafCov,PctConifCov,PctVegCov,TreeBiomass,ForestType,EvapoTransAve,EvapoTransDiff,MoistIndexAve,MoistIndexDiff,PrecipAve,PrecipDiff,RelHumidAve,RelHumidDiff,PotGlobRadAve,PotGlobRadDiff,AveTempAve,AveTempDiff,DayTempAve,DayTempDiff,MaxTempAve,MaxTempDiff,MinTempAve,MinTempDiff,AmbVapPressAve,AmbVapPressDiff,VapPressDefAve,VapPressDefDiff,SatVapPressAve,SatVapPressDiff,TempAve,TempDiff,VapPressAve,VapPressDiff,TransAspect
132.969,0,28573,18.333,667.333,779.917,321,23,1127,0,100,100,189,201,18.33333333,-15.83333333,667.75,1068.583333,1228.5,584.6666667,583.5,60,12659.08333,-8600.916667,779.9166667,-474.4166667,918,-504.8333333,1432.083333,-618.4166667,127.6666667,-330,695.1666667,-164.5,556.75,-250.25,1251.916667,-414.75,814.4166667,-481.9166667,834.6111111,-276.5,0.320816066
166.1369,0,24722,20.5,850.917,672.833,272,33,1335,0,100,100,331,201,20.5,-14.66666667,851.25,1146.916667,1477.5,698.3333333,604.4166667,52.08333333,17588.08333,-6787.583333,672.9166667,-439.75,800.3333333,-465.5,1275.416667,-560.9166667,70.25,-318.4166667,667.0833333,-153.5833333,481.6666667,-203.8333333,1148.75,-357.4166667,704.7291667,-446.1458333,765.8333333,-238.2777778,0.734735813
261.8333,0,19725,18.25,956.333,507.667,75,23,1625,4,93,97,111,264,18.25,-14.91666667,956.6666667,1185.833333,1515.25,730.25,603,48.33333333,17952.08333,-7851.75,507.9166667,-442.25,633.75,-466.4166667,1103.083333,-556.25,-87.83333333,-329,597.3333333,-144,432,-182.3333333,1029.333333,-326.3333333,539.2291667,-448.4791667,686.2222222,-217.5555556,0.146446605
185.4867,0,19154,19.833,877.167,482.75,150,12,1700,27,67,94,125,264,19.83333333,-15.66666667,877.5,1200.5,1484.583333,722.0833333,598.75,48.41666667,20908.66667,-7313,483,-449,610.75,-473.25,1084.833333,-564.8333333,-119.4166667,-333.75,584.3333333,-143.1666667,431.0833333,-183.5833333,1015.416667,-326.75,514.7916667,-455.2083333,676.9444444,-217.8333333,0.749999985
162.0516,1,34117,31.583,331.167,932.25,195,19,774,6,89,95,153,201,31.58333333,-18.75,331.5833333,1179.25,1295.75,605.75,595.6666667,61.33333333,22433.5,-6659.333333,932.25,-456.9166667,1066.75,-487.4166667,1567.333333,-601.1666667,296.75,-312.4166667,780.3333333,-172.6666667,592.25,-261.4166667,1372.583333,-434.0833333,965.7708333,-464.4791667,915.0555556,-289.3888889,0.982962907
109.3344,0,18263,16.75,984.417,441.667,310,11,1754,19,76,96,121,270,16.75,-15.08333333,984.75,1195.75,1497.416667,734.75,598.5,47.5,17564,-8378.166667,442.0833333,-450.4166667,569,-474.6666667,1041.833333,-564.8333333,-158.9166667,-337.0833333,568.3333333,-141.1666667,419.5833333,-178.75,987.9166667,-319.9166667,473.5,-456.75,658.6111111,-213.2777778,0.413175952
0,1,32775,17.25,888.167,895.5,318,37,771,1,95,91,86,201,17.25,-13.75,888.5,1084,1415.666667,663.5,608.1666667,56.16666667,11431.83333,-7077,895.5,-433,1023.916667,-460.4166667,1502.25,-562.5833333,288.6666667,-303.1666667,775.4166667,-167.0833333,551.9166667,-232.5833333,1327.333333,-399.6666667,927.5833333,-439.7916667,884.8888889,-266.4444444,0.345491544
357.5639,1,30264,30,447.167,825.167,197,26,1020,13,67,80,82,201,30,-16.83333333,447.5833333,1148.25,1363.333333,633.3333333,601,57,23679.83333,-5408.833333,825.1666667,-449.8333333,956,-478.1666667,1443.083333,-582.75,207.1666667,-316.6666667,733.75,-165.9166667,541.4166667,-234.25,1275.166667,-400.1666667,857.8541667,-456.8541667,850.1111111,-266.7777778,0.987185027
144.4294,0,17331,17.167,1035,404.083,85,8,1811,0,100,100,98,270,17.16666667,-15.16666667,1035.333333,1233.5,1560.75,770.0833333,601.5,47.16666667,19171.41667,-8003.416667,404.5,-451.1666667,529.9166667,-474.75,997,-563.1666667,-189.1666667,-340,556.5833333,-139.5833333,405.8333333,-173.3333333,962.4166667,-312.9166667,435.5625,-457.2708333,641.6111111,-208.6111111,0.213211775
80.34694,0,22815,21.833,437.667,595,176,1,1465,8,83,84,45,281,21.83333333,-17.5,438.0833333,1084.75,1106.25,550.4166667,565.75,54.08333333,19554.58333,-7960.75,595.25,-491.75,738.5,-520.5,1271.75,-628.75,-81.83333333,-355,601.4166667,-155.25,516.0833333,-231.0833333,1117.5,-386.3333333,630.9166667,-499,745,-257.5555556,0.914518774
124.1235,0,22446,16.333,1183.167,607.833,325,23,1386,17,55,71,182,201,16.33333333,-13.66666667,1183.416667,1194.583333,1683,776.5,621.5,45,13709.91667,-8334.75,608,-415.1666667,727.25,-437.0833333,1172.083333,-517.9166667,43.5,-312.5,654.9166667,-149.0833333,433.5833333,-172.9166667,1088.5,-322,637.7083333,-420.6666667,725.6666667,-214.6666667,0.288690909
24.569,0,38329,23,898,1049.917,272,32,270,53,64,100,151,201,23,-16.33333333,898.4166667,1371.583333,1600.5,872.1666667,671.75,18.58333333,15062.83333,-8885.833333,1049.916667,-267.5833333,1152.5,-276.6666667,1534.666667,-310.8333333,564.5833333,-224.0833333,927.3333333,-144.5,463.5,-108.3333333,1390.833333,-252.8333333,1075.416667,-269.7916667,927.2222222,-168.5555556,0.734735813
10.64865,0,25833,26.333,751,704.5,169,17,1254,35,30,65,140,201,26.33333333,-16,751.3333333,1196.333333,1555.666667,707,617.0833333,49.08333333,22940.08333,-6088.75,704.5,-424.3333333,826.9166667,-448.0833333,1283,-536.1666667,126.0833333,-312.0833333,693.75,-156.25,471.1666667,-192.6666667,1164.916667,-348.9166667,735.125,-430.1666667,776.6111111,-232.6111111,0.877354777
143.2258,0,32715,26.917,534.083,894.667,267,20,806,2,96,98,193,201,26.91666667,-17.58333333,534.5,1142.166667,1356.5,604.3333333,610.6666667,55,19005.33333,-7623.833333,894.6666667,-433.3333333,1021.916667,-460.25,1496.333333,-560,292.8333333,-306.5,778,-169,547.6666667,-229.8333333,1325.666667,-398.8333333,926.4375,-440.0208333,883.7777778,-265.8888889,0.772319547
0,0,35325,23.25,519.167,965.583,325,16,656,12,71,83,123,201,23.25,-17.58333333,519.5833333,1086.083333,1229.916667,548.4166667,604.1666667,58.16666667,14900.5,-8440.833333,965.5833333,-444.75,1096.583333,-473.4166667,1584.75,-579.9166667,345.9166667,-309.0833333,807.0833333,-175.5833333,587.75,-252.0833333,1394.833333,-427.6666667,998.2083333,-451.7916667,929.8888889,-285.1111111,0.288690909
137.0455,1,39322,32.5,190.667,1075.667,164,29,429,13,75,88,135,201,32.5,-19.66666667,191.0833333,1119.583333,1183,518,609.75,58.41666667,20386.91667,-7850.75,1075.666667,-429.8333333,1205.333333,-458.3333333,1689.25,-564.5833333,461.5,-295,872.5,-179.3333333,618.0833333,-259.25,1490.583333,-438.5833333,1107.9375,-436.9375,993.7222222,-292.3888889,0.847329171
34.80498,1,28836,26.417,691.333,786.25,167,16,991,20,70,89,118,201,26.41666667,-16.41666667,691.6666667,1177.833333,1498.416667,675.75,613.4166667,53.75,21045.66667,-6392.5,786.25,-436.75,911.3333333,-462.8333333,1376.75,-559.75,195.5,-313.3333333,727.8333333,-163.1666667,506.5833333,-214.25,1234.416667,-377.4166667,817.4583333,-443.1666667,822.9444444,-251.6111111,0.865676837
183.52,0,20504,20.333,952.583,528.5,107,17,1519,6,87,93,201,201,20.33333333,-16,952.9166667,1252.583333,1575.25,764.0833333,607.25,53.58333333,20121.25,-7435.083333,528.75,-456.4166667,653.75,-482.4166667,1118.416667,-579.9166667,-61.33333333,-333.3333333,608.8333333,-148.3333333,438,-192.8333333,1046.833333,-341.1666667,559.8958333,-463.0208333,697.8888889,-227.4444444,0.387524462
123.9233,0,35502,25.25,561.333,969.833,291,14,611,9,82,91,153,201,25.25,-18.08333333,561.75,1140.416667,1332.833333,587.3333333,612.5833333,56.25,16379.75,-8413.083333,969.8333333,-430.1666667,1097.333333,-457.3333333,1571.5,-559.1666667,367.9166667,-300.75,818.5,-173.3333333,572.25,-239.4166667,1390.75,-412.75,1001.645833,-436.8541667,927.1666667,-275.1666667,0.578217271
127.9786,1,35656,31.667,285,973.917,214,23,610,15,78,93,208,201,31.66666667,-18.66666667,285.4166667,1137.083333,1251.916667,565.9166667,604.25,58.75,21623.25,-7015.416667,973.9166667,-446.4166667,1105.166667,-475.3333333,1593.75,-582.9166667,353.8333333,-309.5,811.5,-176.6666667,591.4166667,-254.4166667,1402.916667,-431.0833333,1006.666667,-453.5416667,935.2777778,-287.3888889,0.998782027
189.7957,0,18329,18.333,933.167,432.167,102,2,1713,2,98,100,99,264,18.33333333,-15.5,933.5,1219.833333,1494.833333,746.3333333,597.6666667,55,19148.58333,-8056.083333,432.5,-475.8333333,560.5,-503.1666667,1036.75,-605.0833333,-172.75,-347.25,563.0833333,-143.9166667,425.4166667,-193.5833333,988.5,-337.5,464.25,-482.8333333,659,-225,0.345491493
90.12535,0,32106,29.5,576.25,877.583,180,15,817,37,42,79,118,201,29.5,-17.66666667,576.6666667,1195.333333,1477.333333,655,616.1666667,55,21831.5,-6835.5,877.5833333,-430.4166667,1002.5,-456.8333333,1467.833333,-555.3333333,287,-305.1666667,774.6666667,-167.6666667,533.0833333,-223.9166667,1307.75,-391.5833333,908.7291667,-436.9375,871.8333333,-261.0555556,0.933012691
22.63225,0,24971,23.667,897.417,679.333,195,4,1223,38,51,89,150,201,23.66666667,-16.83333333,897.75,1253.416667,1621,738.6666667,616.5,53.33333333,19933.5,-7782.333333,679.4166667,-438.5833333,802.0833333,-464.4166667,1258.666667,-559.6666667,99.91666667,-317.4166667,680.9166667,-156.25,468.5,-200.3333333,1149.416667,-356.5833333,710.0208333,-445.0208333,766.2777778,-237.7222222,0.982962907
15.43628,0,28389,21.833,736.75,774.917,16,9,1017,9,88,97,161,201,21.83333333,-16.83333333,737.1666667,1195.833333,1404.416667,681.0833333,593.4166667,59.08333333,16029.33333,-8308.333333,774.9166667,-470.0833333,908.75,-499.75,1407.25,-609.4166667,142.6666667,-330.5,702.3333333,-166.1666667,540.0833333,-240.9166667,1242.416667,-407.0833333,808.3958333,-477.4375,828.2777778,-271.3888889,0.014852136
70.11127,0,21576,21.167,971.667,564.25,123,33,1399,40,18,57,181,201,21.16666667,-15.83333333,972,1271,1619.75,787.75,605.25,56.91666667,21223,-6062.5,564.5,-463.1666667,691.1666667,-491,1161.166667,-594.3333333,-32.58333333,-332.4166667,620.8333333,-150.3333333,453.9166667,-204.0833333,1074.75,-354.4166667,596.0625,-470.2291667,716.5,-236.2777778,0.526167964
21.27114,0,25170,18.333,1049.75,685.667,290,25,1119,19,78,97,202,201,18.33333333,-14.83333333,1050,1196.333333,1610.75,742.75,613.1666667,56.5,14163.75,-8170.416667,685.75,-446.9166667,809.8333333,-474.1666667,1272.75,-574.9166667,98.58333333,-318.75,679.9166667,-156.4166667,477.75,-209.0833333,1157.666667,-365.5,716.7291667,-453.6875,771.7777778,-243.6666667,0.586824127
24.02872,1,39896,26.75,806.833,1091.583,14,8,181,41,65,95,110,201,26.75,-17.58333333,807.25,1461.25,1623.75,923.4166667,660.8333333,39.83333333,16780,-8424.833333,1091.583333,-329.4166667,1199.583333,-347.5833333,1601.833333,-414.5,580.8333333,-244.5,941.0833333,-159.5833333,510.0833333,-168.25,1451.166667,-327.8333333,1118.458333,-334,967.4444444,-218.5555556,0.019369151
112.1316,1,37213,33.167,897.333,1017.333,171,27,303,40,67,98,169,201,33.16666667,-14.33333333,897.75,1508.083333,1908.833333,1069.166667,695.3333333,25,23296.08333,-5806.416667,1017.333333,-279.1666667,1111,-290.3333333,1460.25,-332.0833333,573.9166667,-226.4166667,935.25,-147.5833333,421.5,-112,1356.75,-259.5833333,1040.625,-282,904.5,-173.0555556,0.888572968
19.42806,0,40828,34.417,740.083,1118.417,150,27,119,29,85,100,103,201,34.41666667,-15.75,740.5,1496.166667,1789.75,1013.916667,668.9166667,34.58333333,22263.58333,-6207.083333,1118.416667,-307.25,1223,-322.8333333,1613.166667,-381.1666667,623.0833333,-233.25,967.0833333,-156.0833333,500.0833333,-151.5833333,1467.166667,-307.6666667,1144.416667,-311.125,978.1111111,-205.1111111,0.749999985
163.8249,0,30966,24.667,842.5,846.25,246,2,796,28,31,58,192,201,24.66666667,-18.16666667,842.9166667,1359.416667,1596.666667,804,598.1666667,66.33333333,17294.5,-8527.833333,846.25,-470.25,979.25,-502.5833333,1475.166667,-622.8333333,217.3333333,-317.3333333,738.1666667,-166.8333333,563.1666667,-258.8333333,1301.333333,-425.6666667,879.5,-478.25,867.5555556,-283.7777778,0.904508516
107.6622,0,22668,22,667.667,591.25,130,6,1335,36,25,61,61,221,22,-17.33333333,668.0833333,1190.75,1341.333333,661.5,584.4166667,62.75,19976.25,-7736.75,591.5,-486.5,727.0833333,-517.9166667,1232.083333,-635.0833333,-49.66666667,-338.1666667,612.9166667,-151.0833333,494.6666667,-230.5,1107.583333,-381.5833333,625.25,-494.4166667,738.3888889,-254.3888889,0.586824074
11.22586,0,40816,25,1071.75,1117.417,340,16,83,10,100,100,192,201,25,-16.66666667,1072.166667,1529.166667,1835.25,1019.583333,685.75,25.41666667,15609.08333,-8602.416667,1117.416667,-270.75,1215.666667,-282.1666667,1581,-325,653.5833333,-216.5833333,985.9166667,-147.4166667,464.9166667,-119.25,1450.833333,-266.6666667,1141.916667,-273.625,967.2222222,-177.7777778,0.178606231
65.75882,1,32961,19,1007.833,899.167,355,28,677,2,98,100,249,201,19,-16,1008.083333,1242.583333,1589.083333,753.4166667,614.1666667,62.66666667,12371.5,-8346.333333,899.1666667,-445.6666667,1025.583333,-475.5833333,1497,-587,300.8333333,-304.1666667,781.25,-168.25,551.0833333,-244.4166667,1332.333333,-412.6666667,930.6458333,-453.1041667,888.2222222,-275.1111111,0.090424006
60.79221,0,24580,24.5,1095.583,667.583,229,20,1156,10,89,98,226,201,24.5,-16.66666667,1095.916667,1381.416667,1844.166667,871.5,621.6666667,61.83333333,21474.33333,-6915.5,667.6666667,-443.5,788.5833333,-472.4166667,1239.666667,-579.6666667,95.16666667,-307.3333333,676.3333333,-150.1666667,464.1666667,-209.6666667,1140.5,-359.8333333,697.7708333,-450.7291667,760.3333333,-239.8888889,0.972759297
144.9056,0,20318,19.917,1154.417,517.833,286,1,1445,0,100,91,76,281,19.91666667,-15.91666667,1154.75,1352.083333,1764.416667,865.9166667,610.75,64.41666667,19258.58333,-8017.25,518.0833333,-466.0833333,642.4166667,-496.4166667,1104.666667,-609.8333333,-69,-322.5,603.1666667,-142.5,438.4166667,-206.4166667,1041.583333,-348.9166667,549.0416667,-473.7083333,694.3888889,-232.6111111,0.620960985
78.64035,0,22831,22.417,824.25,601.25,148,4,1294,10,68,75,74,201,22.41666667,-16.91666667,824.6666667,1265.833333,1509.833333,748.5,595.25,64.75,19951,-7780.333333,601.4166667,-479.4166667,732.9166667,-510.9166667,1222.083333,-628.75,-19.75,-330.25,625.5,-150.3333333,484.5,-227.5,1110,-377.8333333,634.1666667,-487.3333333,740,-251.8888889,0.734735766
205.5068,0,18539,18.583,1296.833,456,280,3,1548,17,83,100,63,270,18.58333333,-15.58333333,1297.166667,1384.333333,1866.166667,908.3333333,622.8333333,63.16666667,19471.91667,-7933.25,456.3333333,-457.3333333,574.8333333,-486.6666667,1016.583333,-595.5833333,-105,-320,587.8333333,-138.5,405.4166667,-190.9166667,993.25,-329.4166667,485.6875,-464.8958333,662.1666667,-219.6111111,0.671010107
99.24306,1,31804,19.083,1191.167,869.083,323,29,666,0,100,98,136,201,19.08333333,-15.25,1191.416667,1315.416667,1774.833333,849,630.4166667,60.75,13034.33333,-7852,869.0833333,-434.4166667,988.5,-462.3333333,1432.833333,-567,305.0833333,-301.4166667,783.4166667,-167.25,513.0833333,-225.9166667,1296.5,-393.1666667,898.875,-441.2916667,864.3333333,-262.1111111,0.304634476
282.3333,0,23497,22.333,1378.333,634.583,247,3,1203,14,75,89,213,201,22.33333333,-16.66666667,1378.666667,1515.5,2061.083333,1005.583333,637.0833333,61.41666667,19758.41667,-7830.583333,634.75,-436.0833333,749.25,-464.0833333,1176.166667,-567.3333333,92.91666667,-305.0833333,675.6666667,-149.3333333,433.5,-196.8333333,1109.166667,-346.1666667,663.2708333,-443.1458333,739.4444444,-230.7777778,0.899317774
119.5249,1,27722,18.917,1197.667,755.5,2,23,928,0,100,100,158,201,18.91666667,-15.91666667,1197.916667,1394.583333,1776.583333,907.75,621.6666667,67.33333333,13655.5,-8590.5,755.5,-465.1666667,877.8333333,-496.5,1333.916667,-612.9166667,176.9166667,-316.9166667,718.1666667,-163,498.3333333,-234.8333333,1216.5,-397.8333333,786.0416667,-472.875,811,-265.2222222,0.058526202
75.22535,0,23102,19.583,1161,616.917,342,9,1210,0,100,78,142,201,19.58333333,-15.58333333,1161.333333,1356,1760.166667,879.3333333,624.3333333,64.83333333,16589.41667,-8254.416667,617.0833333,-463.4166667,736.6666667,-493.3333333,1182.333333,-604.6666667,51.08333333,-322.25,657.6666667,-153.5,450.25,-212.0833333,1107.916667,-365.5833333,646.7916667,-470.9166667,738.6111111,-243.7222222,0.165434731
329.25,0,21357,20.417,1320,573.917,265,22,1283,0,97,91,179,301,20.41666667,-15.25,1320.25,1379.916667,1944.25,913.4166667,665.6666667,56.83333333,19248.58333,-7510.583333,574.0833333,-426.5833333,676.8333333,-451.3333333,1059.833333,-542.5,88,-310.8333333,675.1666667,-152,378.5,-170.5,1053.666667,-322.5,599.6875,-432.8125,702.4444444,-215,0.786788247
160.3791,0,21412,21.5,1269,577.083,113,14,1280,3,92,89,135,201,21.5,-15.5,1269.25,1324.916667,1926.166667,850.6666667,682.9166667,49.75,20807.16667,-7276.833333,577.25,-409.25,673.3333333,-430.5,1030.833333,-509.8333333,123.25,-308.75,692.75,-154.75,353.25,-151.9166667,1046,-306.6666667,601.1666667,-414.5833333,697.3333333,-204.4444444,0.439065316
8.08,0,37882,18.75,1426.167,1036.417,11,17,178,30,64,83,120,201,18.75,-15.58333333,1426.416667,1509.416667,1999.666667,1033.166667,681,31.16666667,12061.08333,-8730.916667,1036.416667,-289.4166667,1135.833333,-303.3333333,1506.666667,-354.6666667,565.75,-224.25,928.75,-144.9166667,452.4166667,-130.25,1381.166667,-275.1666667,1061.166667,-292.9166667,920.7777778,-183.4444444,0.027240711
16.95714,0,21579,17.167,1447.083,580.667,347,20,1257,3,96,100,120,263,17.16666667,-14.33333333,1447.25,1308.083333,1972.416667,869.5833333,689.1666667,49.16666667,14827.33333,-8679.833333,580.8333333,-414.6666667,674.5833333,-435.4166667,1023.666667,-513.1666667,137.5,-316.3333333,700.9166667,-159.75,347.0833333,-150.4166667,1048,-310.1666667,604.1458333,-419.8958333,698.6666667,-206.7777778,0.134323181
389.5878,1,25041,22.25,614.167,677,350,3,988,0,100,97,318,301,22.25,-17.08333333,614.5833333,1180.083333,1294.5,657.6666667,653.6666667,60.16666667,18117.41667,-8291.75,677.1666667,-468.6666667,785.4166667,-495.4166667,1189,-595.1666667,164.5833333,-342.0833333,716.6666667,-174.8333333,427,-200.5,1143.666667,-375.3333333,704.0416667,-475.3333333,762.4444444,-250.2222222,0.116977809
67.67984,1,30320,25.083,1588.833,827.833,251,5,650,20,94,100,150,201,25.08333333,-15.75,1589.083333,1802.75,2355.166667,1320.833333,694.3333333,39,19444.83333,-7878.333333,827.8333333,-340.5,921,-357.1666667,1268.25,-418.9166667,387,-262,825.9166667,-153.4166667,385.5,-136.1666667,1211.416667,-289.5833333,851.0208333,-344.6458333,807.6111111,-193.0555556,0.877354812
267.5597,1,22751,21.083,1192.5,605.75,18,3,1108,9,90,98,188,201,21.08333333,-16.25,1192.833333,1403.833333,1837.416667,906.9166667,677.1666667,54.16666667,18654.41667,-8148.083333,605.9166667,-456.5833333,704.5,-479.8333333,1071.75,-566.75,139.5,-346.6666667,705.4166667,-174.5833333,374.1666667,-172.1666667,1079.583333,-346.75,630.4166667,-462.4583333,719.7222222,-231.1666667,0.010926199
110.4444,0,31569,25.5,1267.25,862.75,321,5,623,3,95,98,152,201,25.5,-18,1267.5,1480.666667,2046.666667,930.1666667,663.5,55.66666667,18034.08333,-8254.75,862.75,-450.9166667,968.6666667,-475.5,1363.833333,-568,361.4166667,-333.4166667,820.8333333,-191.8333333,461.8333333,-206.3333333,1282.666667,-398.1666667,889.1666667,-456.9583333,855.1111111,-265.4444444,0.320816066
284.0067,1,29847,23.25,1116.667,813.167,343,12,724,7,92,97,181,301,23.25,-17.75,1117,1431.666667,1827.666667,889,659.5,57.5,16635.75,-8601.416667,813.1666667,-466.6666667,920.4166667,-492.4166667,1320.166667,-587.5,306.25,-345.5833333,791.6666667,-192.3333333,456.1666667,-209.1666667,1247.833333,-401.5,840,-473.0416667,831.8888889,-267.6666667,0.159000854
62.63052,0,24008,23.083,702.167,627.083,152,5,1095,45,83,92,202,201,23.08333333,-18.08333333,702.5833333,1322.416667,1409,770.3333333,650.1666667,56.66666667,20263.08333,-7729.583333,627.3333333,-506.1666667,736.5833333,-531.9166667,1143.083333,-627.5833333,110.75,-385.25,696.5833333,-191.0833333,420.9166667,-201.25,1117.5,-392.3333333,654.4375,-512.7291667,745,-261.5555556,0.764959617
226.0605,1,22216,19.417,1779.167,587,47,12,1124,1,99,99,180,301,19.41666667,-15.75,1779.416667,1682.583333,2373.75,1201.416667,680.75,53.08333333,17286.91667,-8302.416667,587.25,-451.9166667,684.25,-474.75,1045.833333,-559.5,127.75,-344.9166667,699.3333333,-172.6666667,364,-166.1666667,1063.333333,-338.8333333,611.2708333,-457.7708333,708.8888889,-225.8888889,0.021847621
101.1536,1,27542,22.333,1397.333,749.583,275,3,803,31,31,62,114,301,22.33333333,-16.66666667,1397.583333,1570.25,2080.25,1060.583333,660.6666667,57.33333333,17012.75,-7929.25,749.6666667,-469,855.75,-494.5833333,1251.75,-588.75,247.4166667,-349.0833333,760.3333333,-187.6666667,436.25,-201.0833333,1196.583333,-388.75,776.1458333,-475.3541667,797.7222222,-259.1666667,0.711309164
69.104,0,21704,21.167,2083.75,568.333,27,12,1129,0,100,100,212,264,21.16666667,-16.66666667,2083.916667,1926.75,2731.833333,1417.666667,668.6666667,56.5,19877.91667,-7831.916667,568.5833333,-456.4166667,670.3333333,-480.8333333,1048.333333,-572.5,88.25,-340.75,678.8333333,-166.3333333,375.9166667,-173.9166667,1054.75,-340.25,593.875,-462.625,703.1666667,-226.8333333,0.000685233
46.87985,0,24442,22.417,1145.083,649.083,55,9,941,15,35,50,111,201,22.41666667,-17.25,1145.5,1591.833333,1830.75,1064.583333,642.1666667,64,18834.75,-7918.083333,649.25,-491.4166667,762.0833333,-520.0833333,1182.583333,-627.4166667,115.25,-355.5833333,692.6666667,-176,438.1666667,-211.5,1130.833333,-387.5,677.2916667,-498.625,753.8888889,-258.3333333,0.046846105
