id,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
83968,56,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0,neutral or dissatisfied
122719,30,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0,satisfied
3949,27,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46,neutral or dissatisfied
45542,27,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0,satisfied
43742,67,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0,neutral or dissatisfied
122093,32,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4,neutral or dissatisfied
121454,36,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0,neutral or dissatisfied
738,44,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57,satisfied
75235,70,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0,neutral or dissatisfied
88653,55,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3,neutral or dissatisfied
26594,66,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6,satisfied
38339,19,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0,satisfied
46063,53,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0,neutral or dissatisfied
27957,22,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0,neutral or dissatisfied
17270,69,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0,neutral or dissatisfied
87976,42,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47,satisfied
31640,41,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40,satisfied
41461,53,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0,neutral or dissatisfied
15143,35,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0,neutral or dissatisfied
78136,54,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0,neutral or dissatisfied
120433,44,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24,satisfied
41440,26,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0,neutral or dissatisfied
15963,44,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0,neutral or dissatisfied
64303,24,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27,neutral or dissatisfied
3608,54,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0,neutral or dissatisfied
7744,42,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0,neutral or dissatisfied
21276,36,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0,neutral or dissatisfied
58576,61,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20,satisfied
53888,50,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0,neutral or dissatisfied
10980,27,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52,satisfied
54151,55,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0,neutral or dissatisfied
115641,21,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0,neutral or dissatisfied
58584,31,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0,neutral or dissatisfied
50472,37,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20,neutral or dissatisfied
102623,50,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0,satisfied
31533,21,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17,neutral or dissatisfied
42287,53,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0,neutral or dissatisfied
70467,45,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11,satisfied
20461,42,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34,neutral or dissatisfied
113346,59,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0,satisfied
115566,54,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95,neutral or dissatisfied
119896,46,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0,satisfied
88853,52,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0,neutral or dissatisfied
24895,38,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0,neutral or dissatisfied
31122,35,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0,satisfied
91231,41,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0,neutral or dissatisfied
61426,40,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0,neutral or dissatisfied
68873,36,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0,neutral or dissatisfied
125701,67,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0,neutral or dissatisfied
94999,38,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0,satisfied
56694,50,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0,neutral or dissatisfied
62010,50,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0,satisfied
95868,54,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66,satisfied
123064,56,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113,satisfied
103418,38,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2,neutral or dissatisfied
73456,7,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13,neutral or dissatisfied
8851,32,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0,satisfied
64241,45,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7,neutral or dissatisfied
81723,25,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24,neutral or dissatisfied
88237,45,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0,satisfied
50619,34,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0,neutral or dissatisfied
54444,20,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2,neutral or dissatisfied
64765,36,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6,neutral or dissatisfied
15941,36,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0,neutral or dissatisfied
14965,27,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0,satisfied
36897,40,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0,neutral or dissatisfied
127954,31,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4,satisfied
27872,25,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0,satisfied
35854,42,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0,satisfied
14527,45,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40,satisfied
47021,59,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11,neutral or dissatisfied
11224,34,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8,neutral or dissatisfied
3921,22,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17,neutral or dissatisfied
69463,21,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0,neutral or dissatisfied
47050,26,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10,neutral or dissatisfied
21970,37,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86,satisfied
30046,38,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0,satisfied
1256,17,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0,neutral or dissatisfied
73813,15,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8,neutral or dissatisfied
110928,53,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0,neutral or dissatisfied
102981,39,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88,neutral or dissatisfied
61571,40,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0,satisfied
3796,28,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46,neutral or dissatisfied
73906,27,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0,neutral or dissatisfied
74090,41,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0,satisfied
76645,7,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0,neutral or dissatisfied
100462,48,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1,neutral or dissatisfied
54164,13,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0,neutral or dissatisfied
6147,48,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0,satisfied
1262,49,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3,neutral or dissatisfied
20310,26,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0,satisfied
46896,22,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0,satisfied
7237,53,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178,neutral or dissatisfied
44293,43,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0,satisfied
52496,56,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0,satisfied
68263,69,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0,neutral or dissatisfied
5289,59,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0,satisfied
109359,56,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0,satisfied
94988,11,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0,satisfied
53605,25,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78,satisfied
11005,29,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0,satisfied
14794,48,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0,satisfied
49480,42,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0,satisfied
120440,15,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0,neutral or dissatisfied
55823,49,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0,neutral or dissatisfied
107792,41,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18,satisfied
80531,43,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0,satisfied
128145,60,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0,satisfied
63370,42,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0,satisfied
12452,8,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0,neutral or dissatisfied
16145,42,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72,satisfied
44418,18,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41,neutral or dissatisfied
95746,47,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0,satisfied
41134,27,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12,neutral or dissatisfied
3214,67,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91,neutral or dissatisfied
74101,38,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0,satisfied
106220,20,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0,neutral or dissatisfied
88134,60,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0,satisfied
64475,23,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1,satisfied
123812,25,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0,neutral or dissatisfied
88893,38,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0,satisfied
31244,40,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4,satisfied
97762,19,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0,neutral or dissatisfied
59851,61,2073,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0,satisfied
25137,44,1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6,neutral or dissatisfied
18412,22,284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35,neutral or dissatisfied
87192,8,946,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0,neutral or dissatisfied
127062,45,3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16,neutral or dissatisfied
112169,46,895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25,satisfied
127798,54,1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77,neutral or dissatisfied
91778,62,588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0,neutral or dissatisfied
42609,25,2533,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0,satisfied
67482,32,641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0,neutral or dissatisfied
91108,65,581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3,neutral or dissatisfied
102318,40,223,2,2,2,4,2,2,2,2,4,4,4,3,5,2,0,0,neutral or dissatisfied
51281,30,326,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0,satisfied
6528,67,599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0,neutral or dissatisfied
121232,51,2075,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0,satisfied
72478,47,964,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,3,satisfied
122788,38,599,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0,neutral or dissatisfied
5528,54,3138,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0,satisfied
107726,57,251,1,5,0,5,3,2,3,1,1,0,3,5,1,3,0,4,neutral or dissatisfied
72606,13,1119,1,5,1,3,2,1,2,2,3,4,4,5,5,2,0,0,neutral or dissatisfied
75522,20,337,4,0,4,3,4,4,4,4,3,5,4,4,5,4,0,0,satisfied
125687,45,759,2,2,2,2,2,2,1,2,2,2,2,3,2,4,23,94,neutral or dissatisfied
79908,51,2344,2,2,2,2,3,4,5,3,3,3,3,3,3,3,0,0,satisfied
117345,25,296,0,0,0,3,2,0,2,2,4,4,4,5,5,2,0,0,satisfied
73465,39,1005,1,4,2,3,2,1,5,5,2,4,5,5,4,5,168,163,neutral or dissatisfied
95851,46,580,3,3,3,3,3,5,4,4,4,4,4,3,4,5,18,16,satisfied
44992,53,359,1,3,3,3,1,1,1,1,1,2,3,4,4,1,0,0,neutral or dissatisfied
70631,61,1217,0,4,0,1,5,5,5,4,4,0,4,4,4,4,0,0,satisfied
13761,61,384,4,5,5,5,3,3,2,4,4,4,4,3,4,5,96,102,satisfied
74968,16,2586,3,5,3,4,4,3,4,4,5,2,4,5,4,4,45,42,neutral or dissatisfied
12371,44,2903,2,1,1,1,2,3,3,2,2,2,2,3,2,1,0,1,neutral or dissatisfied
8378,17,3170,5,5,5,5,5,5,5,5,1,3,3,1,5,5,16,0,satisfied
82080,50,1276,2,2,2,2,4,2,3,2,2,2,2,1,2,1,35,49,neutral or dissatisfied
107972,40,825,4,4,4,3,5,4,5,5,5,3,4,3,5,5,0,4,satisfied
101228,47,2204,5,5,5,5,4,4,4,2,2,2,2,4,2,3,6,0,satisfied
85577,80,3464,1,1,1,1,2,4,4,4,4,4,4,5,4,4,0,0,satisfied
2717,38,562,5,3,5,3,4,5,4,4,1,1,3,4,3,4,0,0,satisfied
88529,31,404,5,1,5,3,3,5,3,3,4,2,4,4,4,3,0,0,satisfied
91613,59,1199,4,2,2,2,5,4,4,4,4,4,4,3,4,1,0,15,neutral or dissatisfied
88865,22,1968,4,4,4,4,4,4,4,4,1,2,3,4,4,4,0,0,neutral or dissatisfied
96960,53,2560,5,5,5,5,5,4,5,3,3,3,3,3,3,3,0,3,satisfied
51191,56,308,4,2,2,2,5,3,4,4,4,4,4,5,4,2,0,0,satisfied
9461,48,362,4,4,5,3,2,4,5,3,3,5,3,5,3,4,0,0,neutral or dissatisfied
66384,38,1562,3,3,3,5,2,3,2,2,5,2,5,3,4,2,2,25,neutral or dissatisfied
41934,64,129,1,0,1,2,1,1,1,1,3,2,5,4,4,1,13,9,neutral or dissatisfied
25381,67,591,2,4,2,3,5,2,3,5,4,4,4,3,5,5,0,0,neutral or dissatisfied
14757,62,3692,2,2,4,2,3,4,2,4,4,4,4,1,4,2,0,0,satisfied
94013,57,1859,1,1,1,1,2,5,5,4,4,4,4,5,4,5,16,15,satisfied
80107,27,986,2,1,1,3,1,2,1,1,1,5,1,1,3,1,24,32,neutral or dissatisfied
23590,25,1024,1,1,1,3,5,1,5,5,1,4,4,1,4,5,13,11,neutral or dissatisfied
110384,52,919,3,4,4,4,3,2,2,3,3,3,3,1,3,1,85,72,neutral or dissatisfied
15069,45,576,4,2,2,2,3,1,3,4,4,4,4,5,4,2,0,0,satisfied
17128,23,423,3,3,3,3,1,3,1,1,2,2,3,3,3,1,6,13,neutral or dissatisfied
54060,55,1416,5,2,2,2,5,5,5,5,4,3,5,2,5,5,1,0,satisfied
129240,53,1464,3,2,2,2,5,4,4,3,3,3,3,3,3,3,0,0,neutral or dissatisfied
97165,9,715,4,4,4,3,1,4,1,1,5,4,4,4,4,1,11,4,satisfied
111696,33,541,2,2,3,2,4,4,4,4,5,2,5,3,4,4,86,85,satisfied
1887,64,293,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,0,neutral or dissatisfied
89086,8,2092,2,3,3,3,4,2,4,4,4,3,3,3,3,4,26,23,neutral or dissatisfied
35485,34,1053,4,4,4,1,3,4,3,3,3,2,5,3,5,3,34,15,neutral or dissatisfied
35719,59,2521,1,1,1,3,1,3,5,2,3,3,2,5,2,5,0,2,neutral or dissatisfied
85669,13,2544,3,1,3,3,3,3,3,3,4,3,4,3,3,3,0,0,neutral or dissatisfied
1137,44,158,4,4,4,2,2,4,2,2,2,5,1,4,5,2,0,0,neutral or dissatisfied
8358,54,1741,1,1,1,1,4,4,5,4,4,4,4,4,4,3,0,0,satisfied
17217,36,2651,4,4,4,4,3,4,4,5,5,5,5,5,5,3,10,0,satisfied
44847,11,760,3,5,3,1,5,3,5,5,3,5,5,4,4,5,102,88,neutral or dissatisfied
96673,32,1036,1,5,1,2,5,1,5,5,5,5,5,5,4,5,12,9,neutral or dissatisfied
80152,42,2586,1,3,3,3,1,1,1,3,5,2,3,1,4,1,0,0,neutral or dissatisfied
82277,27,1081,1,1,1,4,2,1,2,2,1,5,3,3,1,2,4,0,neutral or dissatisfied
123927,33,646,2,4,2,3,3,2,3,3,4,1,3,2,5,3,1,0,neutral or dissatisfied
115766,28,308,1,3,3,3,1,1,1,1,3,3,3,3,3,1,0,0,neutral or dissatisfied
21134,44,227,4,5,0,1,2,0,2,2,3,4,4,5,5,2,0,0,satisfied
112062,49,1754,3,3,3,3,4,3,5,4,1,4,3,4,4,4,33,28,neutral or dissatisfied
28643,59,2176,2,3,2,2,3,5,2,5,5,5,5,4,5,4,5,0,satisfied
108010,20,271,0,0,0,1,1,0,1,1,5,4,4,4,4,1,0,0,satisfied
92145,46,1522,3,2,3,3,3,5,4,4,4,4,4,3,4,5,0,0,satisfied
115846,36,325,5,5,5,5,5,5,5,5,1,5,3,1,3,5,0,0,satisfied
99685,62,3217,2,2,2,2,5,4,4,4,4,4,4,4,4,5,19,16,satisfied
112072,59,1491,3,3,3,3,2,4,4,3,3,2,3,4,3,3,15,14,satisfied
119226,29,331,3,4,3,4,3,3,3,3,5,4,2,2,4,3,0,0,neutral or dissatisfied
115925,41,371,2,2,2,1,1,2,1,1,4,4,2,1,1,1,35,30,neutral or dissatisfied
106552,7,727,1,5,1,3,4,1,4,4,4,1,1,5,4,4,0,0,neutral or dissatisfied
25126,65,1249,3,5,3,2,4,4,4,3,3,3,3,4,3,5,40,44,neutral or dissatisfied
33426,50,2614,2,2,2,2,5,4,4,2,4,4,2,4,2,4,0,9,satisfied
125844,20,951,2,3,3,3,2,2,4,2,3,5,3,1,4,2,57,41,neutral or dissatisfied
70328,58,2498,3,3,3,3,4,4,4,5,5,5,5,4,5,3,0,0,satisfied
88847,45,545,2,5,2,2,4,1,1,2,2,2,4,4,2,3,14,20,neutral or dissatisfied
108398,46,1838,1,5,1,3,5,1,5,5,3,2,5,4,5,5,0,0,neutral or dissatisfied
97316,43,3724,3,3,3,3,4,4,5,5,5,5,5,4,5,3,19,7,satisfied
124811,26,280,2,2,2,2,2,2,2,2,2,3,2,2,3,2,0,6,neutral or dissatisfied
23012,41,641,5,1,1,1,5,5,5,5,3,4,3,5,5,5,0,0,satisfied
18088,50,488,3,5,3,1,3,4,5,5,5,3,5,5,5,3,0,0,neutral or dissatisfied
37982,38,1237,3,4,3,1,4,3,4,5,5,3,5,5,5,5,6,0,neutral or dissatisfied
31332,38,1062,1,1,1,2,3,1,3,3,4,1,4,5,3,3,0,0,neutral or dissatisfied
97455,55,2699,2,2,2,2,2,5,4,3,3,3,3,4,3,4,0,3,satisfied
28901,49,679,1,1,1,1,2,5,4,4,4,4,4,2,4,1,51,71,satisfied
107606,33,423,4,4,4,3,4,4,4,4,3,2,4,5,5,4,0,5,neutral or dissatisfied
53258,57,4817,4,4,4,4,5,5,5,3,3,4,4,5,4,5,0,19,satisfied
14292,35,3833,3,3,3,3,3,2,3,5,5,5,5,4,5,4,0,3,satisfied
68232,40,2559,5,5,5,5,3,5,5,4,4,4,4,3,4,3,0,0,satisfied
51224,37,373,4,4,4,4,3,4,3,3,4,4,1,1,1,3,0,0,neutral or dissatisfied
121386,52,2279,2,5,2,3,2,4,2,5,3,4,5,2,4,2,17,79,neutral or dissatisfied
31668,41,862,2,2,2,2,2,2,2,2,3,5,2,3,3,2,0,0,satisfied
24628,14,666,3,3,3,2,3,1,1,4,2,1,5,1,4,1,243,251,neutral or dissatisfied
95876,32,759,2,2,2,2,5,4,5,5,3,5,4,4,4,5,0,0,satisfied
62793,11,2338,2,4,2,3,2,1,1,3,2,4,5,1,4,1,152,151,neutral or dissatisfied
83516,12,946,1,3,1,5,2,1,2,2,1,3,2,2,3,2,0,0,neutral or dissatisfied
13221,41,772,4,3,3,3,4,4,4,4,2,1,4,4,3,4,0,0,satisfied
100404,45,1011,3,2,2,5,4,3,4,4,4,3,4,4,5,4,0,0,neutral or dissatisfied
121453,21,257,2,0,2,4,5,2,1,5,1,5,1,4,5,5,0,1,neutral or dissatisfied
21454,31,164,2,3,3,3,2,2,2,2,3,3,3,1,3,2,0,0,neutral or dissatisfied
